# FIELD        ID                                 RA        Dec       X        Y        ISOarea s2nDet PhotoFlag FWHM FWHM_n MUMAX A    B    THETA  FlRadDet KrRadDet nDet_auto nDet_petro nDet_aper uJAVA_auto euJAVA_auto s2n_uJAVA_auto uJAVA_petro euJAVA_petro s2n_uJAVA_petro uJAVA_aper euJAVA_aper s2n_uJAVA_aper F378_auto eF378_auto s2n_F378_auto F378_petro eF378_petro s2n_F378_petro F378_aper eF378_aper s2n_F378_aper F395_auto eF395_auto s2n_F395_auto F395_petro eF395_petro s2n_F395_petro F395_aper eF395_aper s2n_F395_aper F410_auto eF410_auto s2n_F410_auto F410_petro eF410_petro s2n_F410_petro F410_aper eF410_aper s2n_F410_aper F430_auto eF430_auto s2n_F430_auto F430_petro eF430_petro s2n_F430_petro F430_aper eF430_aper s2n_F430_aper g_auto eg_auto s2n_g_auto g_petro eg_petro s2n_g_petro g_aper eg_aper s2n_g_aper F515_auto eF515_auto s2n_F515_auto F515_petro eF515_petro s2n_F515_petro F515_aper eF515_aper s2n_F515_aper r_auto er_auto s2n_r_auto r_petro er_petro s2n_r_petro r_aper er_aper s2n_r_aper F660_auto eF660_auto s2n_F660_auto F660_petro eF660_petro s2n_F660_petro F660_aper eF660_aper s2n_F660_aper i_auto ei_auto s2n_i_auto i_petro ei_petro s2n_i_petro i_aper ei_aper s2n_i_aper F861_auto eF861_auto s2n_F861_auto F861_petro eF861_petro s2n_F861_petro F861_aper eF861_aper s2n_F861_aper z_auto ez_auto s2n_z_auto z_petro ez_petro s2n_z_petro z_aper ez_aper s2n_z_aper recno  Sp WD                     DR2Name                      Source              RA_ICRS         e_RA_ICRS          DE_ICRS         e_DE_ICRS          Plx     e_Plx  pmRA    e_pmRA pmDE    e_pmDE epsi  amax       FG               e_FG              Gmag_2    FBP              e_FBP            BPmag     FRP              e_FRP            RPmag     E(BR/RP) GLON           GLAT          Density   AG                 SDSS umag e_umag gmag_2a e_gmag rmag e_rmag imag e_imag zmag e_zmag Pwd     f_Pwd TeffH        e_TeffH      loggH    e_loggH  MassH    e_MassH  chi2H     TeffHe e_TeffHe loggHe e_loggHe MassHe e_MassHe chisqHe _RA_icrs        _DE_icrs        Separation          
  HYDRA-0062   SPLUS.HYDRA-0062.0000052943.griz   156.18395 -30.35027 1380.251 8739.478 103     356.87 0         2.17 1.07   13.2  2.12 2.07 85.79  1.086    1.05     12        12         12        15.94      0.02        188.7          15.26       0.02         248.4           15.59      0.02        220.5          15.89     0.02       161.2         15.45      0.02        158.8          15.7      0.02       169.8         15.97     0.02       109.8         15.49      0.02        105.3          15.75     0.02       116.0         16.01     0.02       120.4         15.58      0.02        108.2          15.82     0.02       124.5         16.11     0.02       120.0         15.68      0.02        106.8          15.92     0.02       123.4         16.22  0.02    261.3      15.89   0.02     230.1       16.07  0.02    265.4      16.27     0.02       123.5         15.87      0.02        107.2          16.08     0.02       126.8         16.63  0.02    219.6      16.29   0.02     183.1       16.47  0.02    221.4      16.93     0.02       153.3         16.51      0.02        128.6          16.72     0.02       157.6         17.08  0.02    160.9      16.72   0.02     126.8       16.9   0.02    162.0      17.23     0.02       79.1          17.01      0.02        45.8           17.12     0.02       71.1          17.36  0.02    92.0       17.03   0.02     54.1        17.2   0.02    83.0       201855 " " WDJ102444.18-302100.43 "Gaia DR2 5461296765091298048" 5461296765091298048 156.1839374074  0.0430396758713127 -30.35021686261 0.0546561224460316 10.9999 0.0778 -30.354 0.106  -22.714 0.119  0.328 0.11502302 6106.12496823744 7.39645340305454  16.223951 5478.37010586444 27.535960605315  16.004759 2000.12972268637 5.7335012372198  16.509275 1.225    268.9714358686 22.6792894179 14474.247 0.145875906838835  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.9961  0     35304.412051 1290.110555  8.971246 0.034924 1.192574 0.015529 0.864137  ""     ""       ""     ""       ""     ""       ""      156.18408885165 -30.35011906819 0.1952537910344363  
  HYDRA-0063   SPLUS.HYDRA-0063.0000034356.griz   157.2308  -30.71321 4713.292 6376.545 18      35.47  0         2.57 1.27   16.44 1.6  1.46 3.27   1.101    1.21     12        12         12        19.8       0.04        25.5           18.96       0.04         27.0            19.26      0.04        29.1           19.81     0.06       18.8          19.17      0.06        17.2           19.37     0.05       20.0          19.84     0.08       13.0          19.27      0.1         10.9           19.55     0.09       12.0          19.81     0.08       14.3          19.07      0.08        13.8           19.35     0.07       15.3          19.84     0.07       15.1          19.3       0.09        12.4           19.49     0.07       14.8          20.06  0.03    31.5       19.43   0.04     28.6        19.68  0.03    31.9       19.97     0.07       16.3          19.59      0.09        11.7           19.6      0.07       16.2          20.4   0.05    22.6       19.98   0.07     15.6        20.11  0.05    20.3       20.59     0.07       16.4          20.06      0.09        12.3           20.16     0.07       16.5          20.49  0.06    17.1       20.2    0.11     10.0        20.27  0.08    14.1       20.93     0.21       5.1           20.15      0.24        4.5            20.46     0.21       5.2           20.82  0.14    7.5        20.99   0.39     2.8         20.73  0.2     5.4        354556 " " WDJ102855.40-304247.54 "Gaia DR2 5449298855550594688" 5449298855550594688 157.23077621104 0.300527554532732  -30.7132051728  0.363128498423997  1.5255  0.4682 -9.642  0.734  0.097   0.76   0.0   0.7344822  232.800956947937 0.788177155075444 19.770905 201.14708510887  5.88769316190895 19.592604 68.5149336013435 3.76097638745199 20.172457 1.158    269.999587924  22.8944090242 12568.622 0.144570737611626  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.99435 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      157.23082449945 -30.71320558847 0.07565089542760477 
  SPLUS-n15s10 SPLUS.SPLUS-n15s10.0000006785.griz 162.6681  -19.34635 6668.02  2598.988 18      37.59  3         2.72 1.35   16.02 1.45 1.32 -30.47 1.152    1.49     12        12         12        20.13      0.05        22.1           19.64       0.05         20.2            19.75      0.05        23.2           20.23     0.08       13.6          19.63      0.08        12.9           19.83     0.08       14.1          19.99     0.11       10.0          19.63      0.14        7.6            19.7      0.12       9.4           19.98     0.1        10.5          19.41      0.12        9.3            19.61     0.1        10.4          19.78     0.09       12.4          19.35      0.11        9.8            19.51     0.1        11.4          19.74  0.04    27.7       19.2    0.04     24.1        19.35  0.04    28.2       19.6      0.07       16.3          19.1       0.08        13.8           19.35     0.07       14.9          19.91  0.05    23.8       19.53   0.06     17.1        19.63  0.05    21.3       20.15     0.06       17.2          19.74      0.09        12.5           19.85     0.07       15.5          20.05  0.05    20.2       19.73   0.08     13.4        19.77  0.06    18.0       20.42     0.16       6.9           19.72      0.17        6.2            19.98     0.16       6.9           20.36  0.11    10.2       19.79   0.13     8.1         20.02  0.12    9.2        356682 " " WDJ105040.36-192046.82 "Gaia DR2 3554110146387278336" 3554110146387278336 162.66805338762 0.570490493106552  -19.34633321558 0.477392005142909  3.0207  0.7051 -24.428 1.185  1.57    1.021  0.984 1.2062049  294.329857808362 1.53024626999836  19.51628  301.482334368881 28.1423232958636 19.153233 102.651320242728 10.2054443242547 19.73351  1.373    267.4925547412 35.0832814565 6050.5195 0.0809635222361638 ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.99793 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      162.66816485699 -19.34633997451 0.16946735666065108 
  SPLUS-n16s03 SPLUS.SPLUS-n16s03.0000016031.griz 154.31996 -20.26831 4027.102 5331.502 23      28.82  2         8.43 4.17   16.46 2.5  1.83 -3.46  1.79     2.14     12        12         12        19.04      0.06        17.5           19.01       0.08         13.6            19.43      0.06        17.9           19.13     0.1        11.1          19.07      0.12        8.9            19.36     0.08       13.2          19.22     0.16       7.0           19.46      0.26        4.2            19.51     0.14       8.0           19.11     0.15       7.5           18.96      0.17        6.4            19.45     0.13       8.1           19.2      0.15       7.4           18.96      0.16        6.8            19.53     0.13       8.2           19.22  0.07    16.6       19.12   0.08     13.7        19.53  0.06    18.8       19.25     0.13       8.4           18.92      0.13        8.4            19.47     0.11       10.2          19.63  0.08    14.4       19.56   0.09     11.5        19.83  0.06    18.0       19.71     0.09       12.0          19.51      0.1         10.8           20.06     0.08       13.1          19.73  0.1     10.8       19.6    0.12     9.0         19.96  0.08    13.2       19.58     0.17       6.2           19.42      0.2         5.4            20.13     0.19       5.8           20.31  0.29    3.7        20.04   0.31     3.5         20.48  0.23    4.8        353299 " " WDJ101716.78-201605.81 "Gaia DR2 5668277836151992704" 5668277836151992704 154.31989457966 0.537120860687681  -20.26829170238 0.404964526211499  1.4051  0.5774 -5.24   0.908  -2.312  0.792  1.209 0.8333065  258.043042128978 1.58487068190796  19.659136 234.939162010622 15.0402155725038 19.424    85.8073963527631 6.06955466619065 19.928108 1.243    260.6564205309 29.6740303929 6985.7485 0.102802072892044  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.9917  0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      154.31991862963 -20.26828174813 0.230541309191995   
  SPLUS-n16s07 SPLUS.SPLUS-n16s07.0000025038.griz 159.17769 -20.14289 9570.637 6145.38  29      71.92  0         2.3  1.14   15.17 1.69 1.54 7.58   1.063    1.21     12        12         12        18.38      0.02        57.5           17.84       0.02         56.5            18.07      0.02        60.6           18.43     0.03       40.1          17.96      0.03        36.9           18.15     0.03       41.2          18.46     0.04       27.4          17.99      0.04        24.1           18.19     0.04       27.6          18.58     0.04       26.6          18.01      0.05        24.0           18.23     0.04       27.6          18.6      0.04       28.2          18.1       0.05        24.0           18.32     0.04       27.9          18.81  0.02    60.7       18.38   0.02     50.2        18.56  0.02    59.1       18.84     0.04       29.5          18.42      0.05        23.1           18.58     0.04       28.4          19.11  0.02    54.5       18.84   0.03     37.1        18.95  0.02    48.1       19.28     0.03       35.5          18.97      0.04        24.7           19.08     0.03       32.2          19.5   0.03    34.7       19.3    0.06     19.3        19.37  0.04    27.8       19.81     0.08       13.4          19.24      0.11        9.7            19.64     0.1        10.6          19.86  0.07    14.8       19.47   0.12     8.9         19.69  0.09    11.5       355290 " " WDJ103642.65-200834.45 "Gaia DR2 3554521187642120448" 3554521187642120448 159.17766792568 0.330804385755931  -20.14288852592 0.255333909301514  0.7252  0.3459 -10.659 0.533  3.084   0.427  0.575 0.51781255 659.635841310343 1.69681650591731  18.640104 602.245233257091 11.0045173226192 18.401955 216.279049856243 5.96700729109892 18.924383 1.241    264.7767994188 32.565647692  6193.042  0.0992267060446197 ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.79379 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      159.17771680809 -20.14290180602 0.07479554779538053 
  SPLUS-n16s08 SPLUS.SPLUS-n16s08.0000021301.griz 161.67491 -20.13729 3073.614 6187.258 15      18.41  0         3.65 1.81   17.32 1.59 1.37 -82.85 1.264    1.27     12        12         12        20.59      0.09        11.6           20.15       0.12         9.4             20.34      0.1         10.9           20.85     0.14       7.6           20.1       0.14        7.7            20.35     0.13       8.5           20.8      0.22       4.8           20.12      0.24        4.5            20.42     0.22       4.8           20.86     0.24       4.6           20.03      0.23        4.8            20.19     0.19       5.8           20.27     0.14       8.0           19.66      0.15        7.2            19.94     0.14       7.8           20.55  0.06    17.0       19.96   0.07     15.4        20.22  0.06    16.7       20.47     0.13       8.1           20.06      0.18        6.0            20.18     0.14       7.6           20.71  0.07    15.4       20.06   0.08     14.0        20.32  0.07    15.7       20.94     0.09       12.1          20.64      0.14        8.0            20.73     0.1        10.5          21.15  0.14    7.8        20.77   0.21     5.3         20.89  0.16    6.8        21.89     0.55       2.0           21.08      0.56        1.9            21.78     0.72       1.5           21.91  0.52    2.1        24.08   5.0      0.1         21.85  0.72    1.5        356271 " " WDJ104641.99-200814.23 "Gaia DR2 3553984969565577472" 3553984969565577472 161.6748803397  0.55749344715547   -20.13726636259 0.678125596436733  0.9909  0.93   -12.421 1.355  4.773   1.078  0.0   1.2537735  138.745908582997 0.846141035860098 20.332815 138.120889593118 13.8424596749812 20.00074  45.3190028233745 5.21055906795292 20.62122  1.322    267.0749823824 33.9081333698 6265.054  0.0834068007847285 ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.96606 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      161.67493730087 -20.13728691398 0.13149576242110428 
  SPLUS-n16s19 SPLUS.SPLUS-n16s19.0000022958.griz 177.78202 -20.18748 1433.299 5853.503 41      93.41  0         2.38 1.18   15.19 1.8  1.68 32.9   1.138    1.24     12        12         12        18.02      0.02        71.4           17.47       0.02         79.5            17.75      0.02        78.3           18.15     0.02       47.3          17.6       0.02        50.7           17.86     0.02       51.8          18.19     0.03       32.3          17.75      0.04        30.3           17.96     0.03       33.6          18.22     0.03       35.2          17.81      0.03        31.4           18.02     0.03       35.5          18.22     0.03       35.5          17.78      0.03        32.2           18.0      0.03       36.2          18.49  0.02    73.8       18.08   0.02     69.0        18.28  0.02    76.2       18.48     0.03       36.4          18.13      0.04        30.1           18.3      0.03       35.7          18.82  0.02    65.5       18.53   0.02     49.8        18.66  0.02    62.9       18.93     0.02       55.2          18.68      0.03        40.8           18.78     0.02       52.5          19.23  0.03    42.5       18.95   0.04     26.9        19.1   0.03    37.1       19.49     0.06       17.7          19.29      0.11        9.5            19.39     0.08       14.4          19.74  0.06    17.4       19.35   0.1      10.7        19.48  0.07    15.9       208827 " " WDJ115107.69-201114.75 "Gaia DR2 3542547987051887104" 3542547987051887104 177.7819999841  0.185172684785261  -20.18747611074 0.10310974696912   0.8878  0.2492 -7.245  0.448  -10.764 0.207  0.384 0.38925102 846.620970174365 2.35511839820138  18.369143 765.881339601802 9.35095360231778 18.140984 275.147760115778 5.28150847099449 18.663006 1.23     284.2095079996 40.4814763068 6805.7036 0.0881954019716804 ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.8781  0     52954.755711 23268.842581 7.415894 0.596533 0.479792 0.186523 0.24293   ""     ""       ""     ""       ""     ""       ""      177.78203321958 -20.18742976632 0.06906477136156303 
  SPLUS-n16s19 SPLUS.SPLUS-n16s19.0000028999.griz 176.43494 -20.00875 9714.095 7022.914 42      80.4   0         2.65 1.31   15.4  1.83 1.81 -28.82 1.331    1.29     12        12         12        18.11      0.02        66.2           17.7        0.02         67.7            17.99      0.02        68.5           18.23     0.02       43.8          17.8       0.03        43.2           18.12     0.02       44.6          18.21     0.04       30.7          17.88      0.04        26.7           18.11     0.04       30.5          18.3      0.03       31.8          17.93      0.04        27.9           18.19     0.03       31.8          18.4      0.04       30.0          18.13      0.05        23.9           18.3      0.04       29.7          18.62  0.02    65.5       18.3    0.02     57.6        18.52  0.02    65.7       18.65     0.04       30.8          18.4       0.05        23.5           18.57     0.04       29.9          18.99  0.02    54.5       18.67   0.03     42.8        18.91  0.02    52.9       19.07     0.02       47.1          18.78      0.03        36.1           19.01     0.02       44.9          19.37  0.03    34.0       19.13   0.05     22.0        19.27  0.03    32.3       19.63     0.08       13.7          19.54      0.15        7.3            19.6      0.09       12.0          19.76  0.07    14.6       19.37   0.11     10.0        19.62  0.08    14.0       208359 " " WDJ114544.37-200031.58 "Gaia DR2 3543349324871181056" 3543349324871181056 176.43485649576 0.201541410591754  -20.00877307305 0.118134013920203  1.0624  0.2437 -3.044  0.52   -0.078  0.241  0.358 0.46105275 681.48169664017  1.43555082691826  18.60473  621.050806393732 12.1567104897653 18.36857  226.377680347168 5.0682519347391  18.874836 1.244    282.5603912004 40.2498051101 6337.066  0.0771412105548866 ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.87553 0     41325.728676 16170.736837 7.575465 0.569933 0.493556 0.208078 1.449534  ""     ""       ""     ""       ""     ""       ""      176.43487044189 -20.00877273557 0.2944297600538368  
  SPLUS-n17s08 SPLUS.SPLUS-n17s08.0000028995.griz 160.95789 -21.42227 6543.301 6536.491 19      33.97  0         2.14 1.06   16.16 1.52 1.29 5.44   0.884    1.04     12        12         12        20.07      0.04        26.1           19.27       0.04         26.5            19.41      0.04        29.1           19.97     0.06       19.3          19.28      0.06        17.4           19.41     0.06       19.6          20.18     0.1        11.0          19.16      0.09        11.9           19.32     0.08       13.2          20.08     0.09       12.7          19.15      0.09        12.5           19.35     0.08       13.7          20.14     0.09       12.7          19.47      0.11        10.0           19.54     0.09       12.3          20.23  0.04    30.0       19.67   0.05     22.9        19.73  0.04    28.0       20.14     0.07       15.5          19.49      0.09        12.2           19.62     0.08       14.3          20.5   0.04    26.4       19.96   0.06     18.3        20.05  0.05    22.3       20.8      0.06       17.7          20.13      0.08        13.0           20.24     0.07       15.8          20.85  0.07    15.8       20.31   0.11     9.5         20.38  0.09    12.1       21.11     0.19       5.7           20.59      0.34        3.2            20.66     0.26       4.1           21.06  0.14    7.5        20.51   0.26     4.2         20.42  0.17    6.4        355990 " " WDJ104349.89-212520.00 "Gaia DR2 3553386457282592256" 3553386457282592256 160.95784479717 0.429020127017465  -21.42224948045 0.50572949695648   0.7301  0.5728 -7.759  1.088  -6.223  0.837  0.404 1.0373431  227.411084152031 0.845043905733491 19.796337 207.12723787685  7.37986240856724 19.560795 75.227922743491  4.5991801891543  20.070972 1.242    267.2635805216 32.4674140227 7488.5566 0.126353138443503  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.88856 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      160.95788068088 -21.42222268595 0.16853898404660336 
  SPLUS-n17s15 SPLUS.SPLUS-n17s15.0000036562.griz 170.78154 -21.10442 8607.509 8612.682 26      39.16  0         2.79 1.38   16.53 1.69 1.57 54.91  1.058    1.0      12        12         12        19.61      0.04        26.4           18.63       0.04         30.2            18.92      0.03        32.3           19.54     0.05       20.4          18.61      0.05        22.3           18.92     0.05       23.8          19.54     0.08       13.8          18.7       0.08        13.4           18.96     0.07       15.3          19.77     0.09       12.6          18.85      0.09        12.4           19.1      0.07       14.6          19.66     0.08       14.0          18.81      0.08        13.2           19.1      0.07       15.1          19.99  0.04    28.8       19.09   0.04     29.3        19.35  0.03    33.2       19.94     0.08       14.1          19.08      0.08        13.2           19.37     0.07       15.1          20.24  0.04    25.9       19.56   0.05     20.2        19.77  0.04    25.2       20.5      0.06       18.8          19.75      0.07        15.4           19.95     0.06       19.4          20.62  0.07    16.0       19.89   0.09     11.8        20.16  0.07    14.6       20.63     0.15       7.4           19.78      0.19        5.8            20.1      0.16       6.9           20.53  0.11    9.7        20.43   0.28     3.9         20.14  0.13    8.1        360331 " " WDJ112307.57-210615.77 "Gaia DR2 3544634379085097472" 3544634379085097472 170.78150547479 0.30294793496912   -21.10439506826 0.235106334378538  0.8089  0.3955 -3.611  0.802  -3.438  0.553  0.0   0.7231811  300.763777858415 0.95492887607881  19.492802 268.629998866912 8.86703100676414 19.278502 96.249772091804  4.16871846614409 19.803421 1.213    276.7965311116 37.2450259986 6301.86   0.0955715311919283 ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.94052 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      170.78152214076 -21.10438026491 0.1466327775160031  
  SPLUS-n17s17 SPLUS.SPLUS-n17s17.0000014835.griz 174.31338 -21.70528 4771.763 4684.403 21      37.9   0         2.19 1.08   15.91 1.61 1.5  -22.93 1.232    1.79     12        12         12        19.0       0.03        33.5           18.74       0.04         29.3            18.97      0.03        33.0           19.1      0.05       21.7          18.95      0.06        17.2           19.09     0.05       21.3          19.13     0.08       14.2          18.93      0.09        11.6           19.11     0.08       14.1          19.14     0.08       14.0          18.93      0.1         11.3           19.13     0.08       13.8          19.14     0.07       14.6          18.89      0.09        12.1           19.13     0.08       14.2          19.37  0.04    30.0       19.25   0.05     22.4        19.35  0.04    29.5       19.35     0.07       14.7          19.36      0.11        9.6            19.37     0.08       14.0          19.77  0.05    23.6       19.58   0.06     18.3        19.74  0.05    23.4       19.85     0.06       19.7          19.78      0.08        13.7           19.84     0.06       19.3          20.11  0.07    14.7       20.07   0.11     9.7         20.13  0.08    13.9       20.27     0.17       6.4           19.98      0.21        5.2            20.19     0.16       6.6           20.28  0.14    7.6        20.09   0.19     5.6         20.29  0.15    7.2        362119 " " WDJ113715.20-214219.04 "Gaia DR2 3541538811471579136" 3541538811471579136 174.31333274067 0.697924839672151  -21.70529896394 0.46407291385259   1.1202  0.8503 -0.738  1.161  -2.544  0.905  0.764 1.1284294  304.558296053525 1.43550789623565  19.479189 290.28112645394  13.1999266864073 19.194342 98.629592339548  8.53858224132696 19.776901 1.277    280.9147519713 37.9742112565 6878.646  0.115341397342409  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.88131 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      174.3133361602  -21.70528801096 0.1721836567155043  
  SPLUS-n18s03 SPLUS.SPLUS-n18s03.0000038491.griz 153.91591 -23.24786 3952.617 3334.284 231     676.56 0         3.41 1.69   11.74 2.73 2.51 42.57  1.362    1.0      12        12         12        16.12      0.02        212.2          15.45       0.02         241.9           15.96      0.02        225.9          16.22     0.02       150.6         15.62      0.02        159.6          16.08     0.02       159.1         16.3      0.02       104.7         15.76      0.02        98.6           16.16     0.02       109.5         16.38     0.02       109.6         15.81      0.02        98.9           16.23     0.02       114.6         16.38     0.02       111.0         15.92      0.02        89.7           16.28     0.02       113.2         16.56  0.02    216.1      16.22   0.02     151.6       16.48  0.02    215.6      16.59     0.02       108.3         16.23      0.02        73.6           16.5      0.02       108.0         16.96  0.02    175.9      16.67   0.02     102.6       16.89  0.02    171.8      17.14     0.02       110.9         16.79      0.02        61.9           17.04     0.02       108.5         17.39  0.02    111.2      17.15   0.02     53.0        17.33  0.02    104.9      17.72     0.02       44.4          17.46      0.05        20.1           17.67     0.03       41.1          17.73  0.02    59.7       17.47   0.04     26.9        17.67  0.02    55.3       353127 " " WDJ101539.82-231452.15 "Gaia DR2 5473950803894686208" 5473950803894686208 153.91590809784 0.0852290503489365 -23.24786410071 0.0877397654628076 1.8196  0.1084 -5.003  0.224  -10.059 0.173  0.418 0.2130563  3923.71646330381 9.06054185184223  16.704123 3789.54926615251 34.1533747824119 16.404919 1252.0718679513  9.28130319524116 17.017847 1.285    262.4716862819 27.1304563459 8569.777  0.131076850125165  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.94501 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      153.91593154245 -23.24782079027 0.01604741476080407 
  SPLUS-n18s13 SPLUS.SPLUS-n18s13.0000013787.griz 168.93834 -23.10269 1613.158 4277.307 14      19.84  0         3.43 1.7    17.29 1.66 1.52 70.5   1.509    1.91     12        12         12        19.67      0.06        18.2           19.28       0.06         17.7            19.69      0.06        18.2           19.86     0.1        11.3          19.43      0.1         11.2           19.85     0.09       11.5          19.67     0.12       8.8           19.4       0.14        7.5            19.72     0.13       8.5           19.83     0.12       8.7           19.43      0.13        8.3            19.83     0.12       8.8           19.91     0.13       8.4           19.78      0.17        6.3            19.95     0.13       8.3           20.07  0.05    20.2       19.77   0.06     18.0        20.06  0.05    20.5       19.9      0.1        10.5          19.65      0.12        8.8            19.92     0.1        10.5          20.32  0.07    16.1       20.02   0.08     13.9        20.32  0.07    16.2       20.35     0.08       13.7          20.07      0.09        11.5           20.38     0.08       13.5          20.85  0.16    6.9        20.65   0.21     5.3         20.88  0.16    6.8        20.49     0.23       4.7           19.97      0.23        4.8            20.48     0.23       4.7           20.6   0.24    4.6        20.21   0.26     4.1         20.61  0.24    4.6        359368 " " WDJ111545.17-230609.41 "Gaia DR2 3538008962534291968" 3538008962534291968 168.93831551551 0.499353717379861  -23.10273221855 0.424242245486067  0.9003  0.781  19.459  1.183  -27.794 0.887  0.0   1.056604   160.434852361152 0.886855730460358 20.17512  151.887706956869 6.85209015031863 19.897581 55.6351642510519 3.66048607647444 20.398546 1.294    275.9517417932 34.7069140824 7095.354  0.131304361280123  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.93259 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      168.93822442939 -23.10261255137 0.1722590466549156  
  SPLUS-n18s21 SPLUS.SPLUS-n18s21.0000020654.griz 180.57951 -23.06751 2010.539 4509.231 30      81.23  0         1.78 0.88   14.84 1.71 1.64 41.59  0.992    1.2      7         7          7         17.99      0.02        75.4           17.6        0.02         70.4            17.79      0.02        77.0           18.11     0.02       51.0          17.71      0.02        48.0           17.91     0.02       52.1          18.18     0.03       34.9          17.8       0.03        31.3           17.98     0.03       35.3          18.21     0.03       38.1          17.87      0.03        32.9           18.03     0.03       37.9          18.31     0.03       38.1          17.95      0.03        33.5           18.13     0.03       38.0          -99.0  0.0     -1.0       -99.0   0.0      -1.0        -99.0  0.0     -1.0       18.58     0.03       38.6          18.3       0.04        31.1           18.46     0.03       36.6          -99.0  0.0     -1.0       -99.0   0.0      -1.0        -99.0  0.0     -1.0       18.98     0.02       48.0          18.78      0.03        32.1           18.88     0.03       42.9          -99.0  0.0     -1.0       -99.0   0.0      -1.0        -99.0  0.0     -1.0       -99.0     0.0        -1.0          -99.0      0.0         -1.0           -99.0     0.0        -1.0          -99.0  0.0     -1.0       -99.0   0.0      -1.0        -99.0  0.0     -1.0       365364 " " WDJ120219.07-230403.08 "Gaia DR2 3492806149731042048" 3492806149731042048 180.57943007366 0.189849664632831  -23.06751982176 0.122027264677452  0.8389  0.2445 -6.265  0.484  0.636   0.231  0.283 0.42661425 757.832734757021 1.77791935726536  18.489431 702.038979212526 7.2336613826076  18.235485 248.654937240887 7.08991527026353 18.772926 1.254    288.4682204142 38.4207371778 6483.065  0.134266910137282  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.89533 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      180.57945939136 -23.06752255887 0.26707950917768963 
